@relation risco_credito

@attribute rangeIdade {'até 25', '26 a 40', '41 a 60', 'acima de 60'}
@attribute numeroDependentes numeric
 @attribute estadoCivil {'Solteiro', 'Casado', 'Viuvo', 'Divorciado'}
@attribute escolaridade {'Ensino Médio Incompleto', 'Sem Escolaridade', 'Ensino Fundamental Completo', 'Ensino Fundamental Incompleto', 'Ensino Médio Completo', 'Superior Completo', 'Técnico', 'Superior Incompleto', 'Pós-graduação', 'Mestrado', 'Doutorado', 'Pós-doutorado'}
@attribute tempoEnderecoAnos numeric
@attribute nivelInadimplenciaEstado numeric
@attribute tipoContratoResidencia {'Locatario', 'Proprietario', 'Ocupante sem custo'}
@attribute tipoEmprego {'Estagio', 'CLT', 'Autonomo', 'PJ'}
@attribute tempoEmpregoAtual numeric
@attribute salarioLiquidoMensal numeric
@attribute montanteInvestimentos numeric
@attribute montanteBens numeric
@attribute saldo numeric
@attribute restanteMensal numeric
@attribute estaInadimplente {0,1}
@attribute valorParcelaAtiva numeric
@attribute mesesAtrasado numeric
@attribute valorCreditoRestanteTotal numeric
@attribute score numeric

@data'acima de 60',1,'Solteiro','Sem Escolaridade',59,43,'Locatario','CLT',0,1518.00,0.00,49610.00,20424.00,0.00,0,0.00,0,0.00,601
'até 25',2,'Solteiro','Sem Escolaridade',21,41,'Locatario','CLT',6,2754.00,0.00,10904.00,10426.00,1520.00,0,0.00,0,0.00,608
'41 a 60',0,'Solteiro','Sem Escolaridade',45,59,'Locatario','CLT',27,1990.00,0.00,62778.00,48111.00,0.00,0,0.00,0,0.00,569
'41 a 60',4,'Viuvo','Superior Completo',57,42,'Locatario','PJ',35,2982.00,0.00,62158.00,52518.00,10375.00,0,0.00,0,0.00,656
'acima de 60',3,'Solteiro','Sem Escolaridade',83,43,'Locatario','CLT',38,1518.00,0.00,56098.00,10067.00,1109.00,1,6291.96,12,220031.25,391
'acima de 60',4,'Solteiro','Sem Escolaridade',1,41,'Locatario','CLT',63,6280.00,210361.00,305629.00,143512.00,0.00,0,3173.03,0,60936.19,605
'41 a 60',0,'Solteiro','Sem Escolaridade',17,56,'Locatario','CLT',4,2284.00,0.00,85216.00,31490.00,0.00,0,0.00,0,0.00,569
'41 a 60',1,'Solteiro','Sem Escolaridade',38,37,'Locatario','CLT',4,1518.00,0.00,53440.00,27682.00,-33468.00,0,0.00,0,0.00,632
'acima de 60',3,'Viuvo','Mestrado',45,41,'Locatario','CLT',65,2867.00,250997.00,425486.00,99067.00,-343758.00,0,0.00,0,0.00,750
'26 a 40',4,'Solteiro','Sem Escolaridade',27,42,'Locatario','CLT',3,3259.00,345300.00,782397.00,352389.00,0.00,0,0.00,0,0.00,775
'acima de 60',4,'Casado','Doutorado',74,44,'Proprietario','PJ',52,12727.00,460099.00,366538.00,302229.00,20344.00,0,0.00,0,0.00,805
'acima de 60',3,'Solteiro','Sem Escolaridade',34,59,'Locatario','CLT',53,2736.00,0.00,77477.00,8809.00,-58102.00,0,0.00,0,0.00,594
'acima de 60',4,'Solteiro','Superior Completo',6,59,'Proprietario','CLT',47,14073.00,244845.00,727392.00,362263.00,171202.00,1,17630.84,41,52655.94,758
'acima de 60',1,'Solteiro','Ensino Fundamental Incompleto',47,44,'Locatario','CLT',62,1910.00,0.00,112478.00,65971.00,0.00,0,0.00,0,0.00,668
'acima de 60',1,'Solteiro','Sem Escolaridade',61,49,'Locatario','CLT',65,5995.00,242675.00,371045.00,301541.00,-309985.00,0,0.00,0,0.00,785
'41 a 60',4,'Viuvo','Ensino Fundamental Incompleto',22,59,'Proprietario','Autonomo',30,2087.00,0.00,64116.00,5817.00,384.00,0,58723.41,0,558830.00,302
'acima de 60',3,'Viuvo','Pós-graduação',0,46,'Locatario','Autonomo',53,2115.00,0.00,32283.00,20387.00,0.00,0,31088.71,0,918000.00,325
'acima de 60',0,'Solteiro','Sem Escolaridade',85,37,'Locatario','CLT',70,3241.00,0.00,63570.00,22743.00,0.00,0,0.00,0,0.00,801
'até 25',3,'Viuvo','Superior Completo',22,36,'Locatario','Autonomo',4,2134.00,0.00,97549.00,11773.00,-4352.00,0,0.00,0,0.00,627
'acima de 60',0,'Solteiro','Técnico',25,49,'Proprietario','PJ',0,2571.00,0.00,27412.00,26246.00,1096.00,0,0.00,0,0.00,632
'acima de 60',1,'Solteiro','Superior Completo',51,62,'Locatario','Autonomo',76,1920.00,206843.00,238354.00,145533.00,0.00,0,0.00,0,0.00,706
'acima de 60',0,'Solteiro','Sem Escolaridade',97,50,'Locatario','CLT',54,1518.00,0.00,75422.00,44760.00,1178.00,0,5424.22,0,97141.33,556
'até 25',1,'Viuvo','Técnico',16,49,'Proprietario','Autonomo',0,16292.00,308154.00,482186.00,381049.00,0.00,1,7193.69,62,215810.72,475
'acima de 60',3,'Solteiro','Ensino Fundamental Incompleto',12,49,'Proprietario','CLT',65,2808.00,0.00,115141.00,62152.00,4495.00,0,0.00,0,0.00,785
'acima de 60',1,'Solteiro','Sem Escolaridade',68,41,'Locatario','CLT',54,1518.00,0.00,108228.00,52463.00,0.00,0,9307.51,0,530600.00,537
'acima de 60',2,'Casado','Superior Completo',39,44,'Proprietario','PJ',27,3028.00,0.00,61873.00,55143.00,8138.00,0,0.00,0,0.00,895
'41 a 60',2,'Casado','Mestrado',42,50,'Proprietario','Autonomo',26,1936.00,0.00,55950.00,22603.00,717.00,1,10622.17,53,771865.70,420
'até 25',2,'Solteiro','Sem Escolaridade',24,49,'Locatario','CLT',3,3261.00,0.00,12352.00,11443.00,532.00,0,0.00,0,0.00,604
'acima de 60',2,'Solteiro','Sem Escolaridade',94,62,'Locatario','CLT',78,6242.00,274505.00,621188.00,152419.00,-120498.00,0,10744.53,0,649772.37,631
'acima de 60',3,'Solteiro','Sem Escolaridade',49,46,'Locatario','CLT',64,2097.00,0.00,47361.00,3393.00,0.00,0,0.00,0,0.00,564
'acima de 60',0,'Solteiro','Sem Escolaridade',73,54,'Locatario','CLT',31,1518.00,0.00,101027.00,82691.00,0.00,0,0.00,0,0.00,668
'41 a 60',1,'Solteiro','Sem Escolaridade',38,36,'Locatario','PJ',8,2733.00,0.00,129401.00,59131.00,-17749.00,1,73.27,14,2938.82,481
'41 a 60',4,'Solteiro','Sem Escolaridade',23,48,'Locatario','CLT',36,13976.00,321657.00,1096188.00,585928.00,157709.00,0,0.00,0,0.00,835
'26 a 40',4,'Casado','Superior Completo',11,41,'Proprietario','Autonomo',16,2673.00,0.00,77263.00,72793.00,-37869.00,0,173.55,0,10300.00,694
'acima de 60',3,'Viuvo','Superior Incompleto',78,44,'Locatario','PJ',50,1518.00,0.00,110303.00,34813.00,0.00,1,78.84,26,144.21,506
'41 a 60',1,'Solteiro','Ensino Fundamental Completo',47,36,'Proprietario','PJ',29,1518.00,0.00,81163.00,43625.00,15997.00,1,36469.39,38,188408.24,495
'acima de 60',4,'Solteiro','Sem Escolaridade',65,43,'Locatario','CLT',39,3499.00,0.00,65930.00,19063.00,1614.00,0,0.00,0,0.00,785
'acima de 60',1,'Solteiro','Mestrado',60,36,'Locatario','PJ',27,2561.00,0.00,48262.00,6332.00,0.00,0,0.00,0,0.00,668
'41 a 60',2,'Viuvo','Superior Incompleto',50,41,'Proprietario','Autonomo',35,1828.00,0.00,111399.00,55076.00,-2064.00,1,8745.43,92,36915.37,381
'26 a 40',1,'Solteiro','Sem Escolaridade',5,51,'Locatario','CLT',16,1518.00,0.00,95667.00,41633.00,-11010.00,1,1356.33,6,46115.36,362
'acima de 60',4,'Solteiro','Sem Escolaridade',68,61,'Locatario','CLT',46,2957.00,0.00,64366.00,29096.00,6600.00,0,0.00,0,0.00,674
'acima de 60',4,'Solteiro','Sem Escolaridade',62,42,'Locatario','CLT',50,4682.00,107970.00,716579.00,410062.00,38329.00,0,0.00,0,0.00,845
'acima de 60',2,'Solteiro','Sem Escolaridade',15,41,'Locatario','CLT',27,2361.00,0.00,103594.00,25811.00,0.00,1,11539.98,63,72489.47,401
'acima de 60',1,'Solteiro','Sem Escolaridade',68,47,'Locatario','CLT',50,2180.00,0.00,25940.00,23032.00,0.00,0,0.00,0,0.00,574
'acima de 60',0,'Solteiro','Sem Escolaridade',97,54,'Locatario','CLT',81,1518.00,0.00,93158.00,21844.00,-34955.00,0,23974.70,0,111365.38,520
'até 25',1,'Solteiro','Sem Escolaridade',5,49,'Locatario','CLT',2,1518.00,0.00,80349.00,40063.00,-18363.00,0,0.00,0,0.00,591
'26 a 40',3,'Solteiro','Sem Escolaridade',31,44,'Locatario','CLT',16,3182.00,0.00,12744.00,4581.00,0.00,0,0.00,0,0.00,645
'41 a 60',1,'Solteiro','Sem Escolaridade',47,51,'Locatario','CLT',29,2013.00,0.00,122542.00,53326.00,15358.00,0,0.00,0,0.00,639
'acima de 60',4,'Viuvo','Superior Completo',89,46,'Proprietario','CLT',68,11940.00,116954.00,534755.00,6530.00,-516613.00,1,12414.57,37,133285.45,643
'acima de 60',4,'Casado','Superior Completo',28,56,'Locatario','CLT',36,2252.00,0.00,47119.00,22560.00,13990.00,1,32357.37,15,421197.10,480
'acima de 60',1,'Solteiro','Sem Escolaridade',34,36,'Locatario','CLT',18,1518.00,0.00,96753.00,53878.00,-30295.00,0,0.00,0,0.00,726
'26 a 40',2,'Solteiro','Sem Escolaridade',33,51,'Locatario','CLT',15,2179.00,0.00,67633.00,62333.00,0.00,0,16286.88,0,33902.28,498
'acima de 60',4,'Solteiro','Sem Escolaridade',99,44,'Locatario','CLT',59,1763.00,0.00,64357.00,38962.00,10317.00,0,305.31,0,9240.00,713
'até 25',3,'Viuvo','Ensino Médio Incompleto',24,44,'Locatario','PJ',2,1518.00,0.00,66790.00,30815.00,-5790.00,0,0.00,0,0.00,473
'acima de 60',1,'Viuvo','Superior Completo',64,41,'Proprietario','PJ',22,1568.00,0.00,12588.00,3359.00,24.00,1,8890.07,16,122810.12,356
'41 a 60',2,'Viuvo','Pós-graduação',43,59,'Locatario','CLT',24,1739.00,0.00,85286.00,40587.00,8404.00,0,0.00,0,0.00,668
'acima de 60',2,'Solteiro','Sem Escolaridade',87,51,'Locatario','CLT',51,2707.00,0.00,45330.00,19145.00,0.00,0,0.00,0,0.00,535
'acima de 60',3,'Casado','Pós-graduação',87,59,'Locatario','PJ',68,2445.00,0.00,62181.00,16177.00,7656.00,1,21878.61,66,1225976.13,480
'acima de 60',0,'Solteiro','Sem Escolaridade',26,48,'Locatario','CLT',33,10624.00,44016.00,175607.00,151082.00,33825.00,0,0.00,0,0.00,879
'41 a 60',3,'Casado','Ensino Fundamental Incompleto',44,61,'Proprietario','PJ',26,2151.00,0.00,82621.00,39143.00,19269.00,0,0.00,0,0.00,592
'até 25',2,'Solteiro','Sem Escolaridade',22,47,'Locatario','CLT',2,2694.00,0.00,80040.00,62069.00,0.00,0,0.00,0,0.00,616
'41 a 60',1,'Viuvo','Ensino Fundamental Completo',19,44,'Locatario','CLT',24,1518.00,0.00,80806.00,31730.00,0.00,0,3234.78,0,104261.70,395
'acima de 60',2,'Viuvo','Doutorado',27,41,'Proprietario','PJ',69,1907.00,0.00,74831.00,29597.00,-21332.00,0,714.70,0,15890.49,549
'41 a 60',2,'Solteiro','Sem Escolaridade',49,41,'Locatario','CLT',29,1518.00,0.00,64431.00,8534.00,0.00,0,46433.69,0,885090.00,433
'acima de 60',4,'Viuvo','Sem Escolaridade',34,43,'Locatario','Autonomo',44,1752.00,0.00,33665.00,6377.00,3025.00,0,12109.65,0,945520.00,379
'acima de 60',2,'Solteiro','Sem Escolaridade',58,44,'Locatario','CLT',66,2017.00,0.00,63841.00,26328.00,13934.00,0,263.33,0,8200.00,723
'26 a 40',2,'Solteiro','Sem Escolaridade',28,61,'Locatario','CLT',10,3049.00,18712.00,903723.00,364540.00,4619.00,0,0.00,0,0.00,816
'até 25',0,'Solteiro','Sem Escolaridade',24,44,'Locatario','CLT',3,1518.00,0.00,71818.00,38224.00,-26245.00,0,0.00,0,0.00,628
'26 a 40',0,'Solteiro','Sem Escolaridade',17,36,'Locatario','CLT',8,1518.00,0.00,35658.00,24313.00,-43835.00,0,415.99,0,7536.99,672
'acima de 60',3,'Solteiro','Pós-graduação',68,48,'Proprietario','Autonomo',24,3061.00,0.00,35299.00,974.00,0.00,1,1384.44,64,61152.43,422
'41 a 60',1,'Casado','Doutorado',20,59,'Proprietario','CLT',21,1525.00,0.00,86665.00,5605.00,1438.00,0,0.00,0,0.00,690
'26 a 40',4,'Solteiro','Ensino Fundamental Completo',29,49,'Proprietario','Autonomo',12,2374.00,0.00,22726.00,18934.00,-5786.00,0,0.00,0,0.00,573
'acima de 60',4,'Solteiro','Sem Escolaridade',57,37,'Locatario','CLT',12,2028.00,0.00,102135.00,21533.00,0.00,0,0.00,0,0.00,691
'acima de 60',3,'Solteiro','Sem Escolaridade',87,43,'Locatario','CLT',64,1806.00,0.00,108942.00,91956.00,0.00,1,9.91,18,207.46,556
'41 a 60',2,'Solteiro','Sem Escolaridade',0,44,'Locatario','CLT',3,1537.00,0.00,73560.00,20613.00,0.00,1,28331.67,29,58091.06,244
'acima de 60',0,'Solteiro','Sem Escolaridade',77,44,'Locatario','CLT',57,2573.00,0.00,55504.00,45103.00,0.00,0,16679.53,0,650576.36,556
'acima de 60',3,'Casado','Ensino Médio Completo',90,62,'Locatario','PJ',40,2329.00,166383.00,829433.00,489179.00,113032.00,0,0.00,0,0.00,736
'41 a 60',4,'Solteiro','Sem Escolaridade',19,49,'Locatario','CLT',25,16873.00,34895.00,330115.00,37637.00,-282238.00,1,3007.97,50,179791.48,538
'acima de 60',4,'Viuvo','Doutorado',60,48,'Locatario','CLT',62,1518.00,0.00,63224.00,4833.00,0.00,0,9496.78,0,137830.00,552
'acima de 60',4,'Casado','Ensino Fundamental Completo',70,51,'Proprietario','CLT',52,1715.00,0.00,39217.00,22936.00,0.00,1,15363.73,16,80562.74,364
'41 a 60',1,'Solteiro','Sem Escolaridade',8,54,'Locatario','CLT',41,1750.00,280285.00,236287.00,80650.00,43277.00,0,0.00,0,0.00,679
'26 a 40',1,'Solteiro','Sem Escolaridade',26,59,'Locatario','CLT',15,1518.00,0.00,57009.00,13074.00,6410.00,0,0.00,0,0.00,684
'26 a 40',4,'Viuvo','Ensino Médio Completo',27,50,'Proprietario','Autonomo',12,1518.00,0.00,36957.00,1469.00,349.00,0,157.51,0,963.42,482
'até 25',2,'Casado','Sem Escolaridade',18,41,'Locatario','Autonomo',3,1874.00,0.00,85573.00,82169.00,44652.00,0,0.00,0,0.00,633
'até 25',2,'Solteiro','Sem Escolaridade',17,41,'Locatario','CLT',0,2764.00,0.00,47605.00,9251.00,97.00,0,0.00,0,0.00,441
'acima de 60',2,'Solteiro','Sem Escolaridade',13,50,'Locatario','CLT',42,1518.00,0.00,76554.00,51122.00,0.00,0,0.00,0,0.00,668
'acima de 60',4,'Solteiro','Sem Escolaridade',62,44,'Locatario','CLT',44,2244.00,0.00,112661.00,70485.00,0.00,0,0.00,0,0.00,658
'acima de 60',2,'Solteiro','Sem Escolaridade',70,59,'Locatario','CLT',14,15768.00,95468.00,399156.00,137525.00,14079.00,1,1690.39,10,39106.67,687
'acima de 60',0,'Viuvo','Superior Completo',37,61,'Locatario','Autonomo',1,3237.00,0.00,145079.00,70918.00,2581.00,0,0.00,0,0.00,742
'acima de 60',4,'Solteiro','Sem Escolaridade',14,49,'Locatario','CLT',51,1518.00,0.00,61718.00,35258.00,4556.00,1,1827.30,25,21631.12,485
'acima de 60',4,'Solteiro','Sem Escolaridade',31,49,'Locatario','CLT',22,2476.00,0.00,51517.00,8611.00,0.00,0,3123.15,0,59318.16,502
'41 a 60',0,'Solteiro','Ensino Fundamental Completo',46,41,'Locatario','Autonomo',29,2101.00,0.00,33530.00,13759.00,-22828.00,0,0.00,0,0.00,488
'acima de 60',4,'Casado','Doutorado',31,37,'Locatario','CLT',72,1518.00,0.00,24340.00,10063.00,0.00,0,0.00,0,0.00,722
'acima de 60',0,'Solteiro','Ensino Fundamental Completo',54,43,'Proprietario','Autonomo',35,1518.00,0.00,34187.00,20584.00,-53581.00,1,1785.43,22,34446.15,381
'acima de 60',0,'Solteiro','Técnico',95,46,'Proprietario','CLT',35,1834.00,0.00,109024.00,46096.00,17519.00,0,124.03,0,6267.46,800
'até 25',1,'Casado','Sem Escolaridade',21,59,'Proprietario','CLT',3,1518.00,0.00,13870.00,1867.00,625.00,0,79.36,0,1730.00,465
'41 a 60',2,'Solteiro','Sem Escolaridade',23,37,'Locatario','CLT',15,1835.00,0.00,57032.00,41272.00,2290.00,1,10059.12,57,282444.26,484
'41 a 60',1,'Viuvo','Técnico',54,49,'Locatario','PJ',22,1677.00,0.00,40667.00,19278.00,0.00,0,3498.34,0,160000.00,322
'acima de 60',2,'Solteiro','Sem Escolaridade',92,42,'Locatario','CLT',77,2061.00,0.00,113754.00,74806.00,51140.00,1,1275.91,15,66961.86,520
'até 25',2,'Casado','Ensino Fundamental Incompleto',15,43,'Locatario','CLT',1,2118.00,0.00,111741.00,54133.00,33632.00,0,341.37,0,16499.74,579
'26 a 40',0,'Casado','Ensino Médio Completo',35,49,'Proprietario','PJ',12,1518.00,0.00,53676.00,49478.00,-34396.00,0,0.00,0,0.00,722
'41 a 60',3,'Viuvo','Pós-graduação',20,42,'Locatario','PJ',16,2332.00,0.00,38493.00,20467.00,-9974.00,0,0.00,0,0.00,464
'acima de 60',2,'Solteiro','Sem Escolaridade',69,36,'Locatario','CLT',19,3244.00,34083.00,409593.00,389432.00,14517.00,1,451.39,50,15522.42,781
'acima de 60',1,'Solteiro','Pós-graduação',58,41,'Proprietario','PJ',32,1518.00,0.00,38594.00,26824.00,-56378.00,0,0.00,0,0.00,662
'acima de 60',3,'Solteiro','Sem Escolaridade',70,46,'Locatario','CLT',49,5398.00,202918.00,404953.00,104481.00,0.00,1,10291.22,57,129260.63,561
'acima de 60',0,'Viuvo','Superior Completo',45,44,'Proprietario','Autonomo',52,2467.00,0.00,42582.00,3588.00,715.00,0,306.55,0,26200.00,596
'41 a 60',3,'Solteiro','Sem Escolaridade',3,49,'Locatario','CLT',37,1866.00,0.00,125844.00,57926.00,25964.00,0,0.00,0,0.00,670
'acima de 60',4,'Solteiro','Sem Escolaridade',45,49,'Locatario','CLT',50,2167.00,0.00,83720.00,36574.00,8730.00,0,24.17,0,1980.00,713
'26 a 40',2,'Casado','Ensino Médio Completo',7,56,'Proprietario','Autonomo',1,2069.00,0.00,95960.00,75340.00,4082.00,1,18547.27,31,556367.17,455
'26 a 40',1,'Viuvo','Superior Incompleto',2,41,'Locatario','PJ',10,1518.00,0.00,75284.00,37747.00,6340.00,0,0.00,0,0.00,709
'41 a 60',1,'Solteiro','Sem Escolaridade',50,43,'Locatario','CLT',7,3690.00,423213.00,961261.00,538271.00,58855.00,0,409.95,0,31030.34,751
'26 a 40',2,'Viuvo','Ensino Médio Incompleto',40,49,'Proprietario','CLT',22,10181.00,116540.00,304128.00,251615.00,0.00,0,0.00,0,0.00,811
'até 25',0,'Solteiro','Sem Escolaridade',24,47,'Locatario','CLT',2,1975.00,0.00,4555.00,2464.00,208.00,0,289.96,0,8339.71,559
'41 a 60',1,'Casado','Ensino Fundamental Completo',21,41,'Proprietario','PJ',19,17029.00,57677.00,568024.00,223011.00,0.00,0,0.00,0,0.00,731
'acima de 60',1,'Viuvo','Sem Escolaridade',7,51,'Locatario','PJ',9,1518.00,0.00,55284.00,31733.00,0.00,0,29200.00,0,702600.00,329
'41 a 60',1,'Casado','Pós-graduação',50,49,'Locatario','PJ',16,1518.00,0.00,76621.00,71405.00,0.00,0,0.00,0,0.00,630
'até 25',1,'Viuvo','Ensino Médio Completo',23,37,'Locatario','CLT',5,1780.00,0.00,111899.00,29207.00,6141.00,0,6.11,0,255.44,756
'até 25',3,'Solteiro','Sem Escolaridade',20,41,'Locatario','CLT',2,1518.00,0.00,93162.00,39533.00,21442.00,0,910.96,0,9747.16,588
'até 25',0,'Solteiro','Mestrado',15,61,'Proprietario','CLT',0,1518.00,0.00,24604.00,9375.00,0.00,0,830.52,0,55070.42,484
'41 a 60',3,'Solteiro','Sem Escolaridade',35,54,'Locatario','CLT',40,1892.00,0.00,70936.00,16514.00,-19051.00,1,457.22,4,6303.37,410
'41 a 60',4,'Viuvo','Ensino Médio Completo',20,36,'Proprietario','Autonomo',35,1732.00,0.00,50417.00,23305.00,4774.00,0,0.00,0,0.00,711
'41 a 60',4,'Viuvo','Ensino Médio Completo',53,48,'Locatario','Autonomo',0,1520.00,0.00,72519.00,57971.00,-4786.00,1,1013.78,24,8167.75,217
'26 a 40',1,'Casado','Ensino Médio Incompleto',26,43,'Locatario','CLT',9,1518.00,0.00,95475.00,13153.00,0.00,0,1649.60,0,132000.00,534
'acima de 60',2,'Viuvo','Pós-graduação',82,47,'Proprietario','Autonomo',19,1632.00,0.00,32178.00,18985.00,1437.00,0,0.00,0,0.00,611
'41 a 60',3,'Solteiro','Sem Escolaridade',38,36,'Locatario','CLT',7,2498.00,292636.00,553547.00,485973.00,0.00,0,0.00,0,0.00,689
'41 a 60',1,'Solteiro','Sem Escolaridade',42,41,'Locatario','CLT',24,1518.00,0.00,27504.00,8542.00,-47996.00,0,0.00,0,0.00,498
'41 a 60',3,'Solteiro','Sem Escolaridade',9,54,'Locatario','CLT',0,1518.00,0.00,10669.00,1258.00,85.00,1,152.03,48,4446.54,161
'acima de 60',0,'Solteiro','Sem Escolaridade',58,44,'Locatario','CLT',66,4169.00,340608.00,276201.00,123814.00,0.00,0,8848.89,0,36284.44,706
'acima de 60',2,'Solteiro','Sem Escolaridade',52,56,'Locatario','CLT',17,2360.00,0.00,95263.00,65838.00,5829.00,0,0.00,0,0.00,709
'41 a 60',2,'Solteiro','Sem Escolaridade',49,44,'Locatario','CLT',25,1518.00,0.00,125264.00,56514.00,13248.00,0,5328.73,0,131706.24,550
'41 a 60',2,'Casado','Ensino Fundamental Incompleto',7,37,'Proprietario','Autonomo',19,1962.00,0.00,93615.00,19542.00,0.00,0,1201.60,0,106411.21,489
'41 a 60',3,'Solteiro','Ensino Médio Incompleto',42,51,'Locatario','PJ',24,1518.00,0.00,13303.00,7730.00,306.00,0,0.00,0,0.00,392
'acima de 60',3,'Viuvo','Superior Completo',62,46,'Locatario','PJ',44,2837.00,0.00,2487.00,1209.00,90.00,0,1164.89,0,61371.86,311
'26 a 40',3,'Solteiro','Sem Escolaridade',36,61,'Locatario','CLT',1,2125.00,0.00,31766.00,27476.00,7009.00,0,0.00,0,0.00,542
'41 a 60',0,'Solteiro','Técnico',52,44,'Locatario','PJ',36,10970.00,412051.00,244506.00,49958.00,0.00,0,27.58,0,344.25,757
'26 a 40',3,'Solteiro','Ensino Fundamental Completo',28,43,'Locatario','CLT',6,1518.00,0.00,54866.00,37956.00,0.00,0,0.00,0,0.00,655
'acima de 60',4,'Viuvo','Ensino Fundamental Incompleto',64,46,'Proprietario','Autonomo',51,1831.00,0.00,28051.00,358.00,10.00,0,0.00,0,0.00,416
'acima de 60',1,'Solteiro','Sem Escolaridade',92,54,'Locatario','CLT',73,2998.00,7125.00,347569.00,61307.00,-481284.00,0,0.00,0,0.00,629
'acima de 60',1,'Casado','Superior Completo',65,43,'Proprietario','CLT',1,1518.00,0.00,49171.00,6796.00,-68408.00,1,28.29,64,2500.00,560
'acima de 60',1,'Solteiro','Sem Escolaridade',72,41,'Locatario','CLT',48,1518.00,0.00,107366.00,44365.00,-27945.00,0,0.00,0,0.00,643
'41 a 60',0,'Solteiro','Sem Escolaridade',0,41,'Locatario','CLT',29,1518.00,0.00,39513.00,29939.00,0.00,0,1059.13,0,96850.00,334
'acima de 60',1,'Solteiro','Sem Escolaridade',25,43,'Locatario','CLT',5,2190.00,142230.00,876752.00,605112.00,121433.00,0,0.00,0,0.00,785
'41 a 60',4,'Solteiro','Superior Completo',13,54,'Locatario','Autonomo',13,3306.00,0.00,96988.00,35392.00,-20163.00,1,1708.00,30,37541.33,396
'41 a 60',4,'Casado','Superior Completo',50,44,'Locatario','Autonomo',32,1518.00,0.00,92962.00,27659.00,-25382.00,0,0.00,0,0.00,594
'26 a 40',0,'Solteiro','Sem Escolaridade',24,51,'Locatario','CLT',8,1744.00,0.00,45114.00,44729.00,7415.00,0,0.00,0,0.00,658
'26 a 40',4,'Solteiro','Sem Escolaridade',28,59,'Locatario','CLT',10,1764.00,0.00,87094.00,41229.00,1242.00,1,1515.30,77,21953.34,352
'26 a 40',2,'Casado','Superior Incompleto',0,43,'Locatario','Autonomo',10,1919.00,0.00,60235.00,45273.00,0.00,1,1530.40,40,77147.58,363
'acima de 60',2,'Solteiro','Sem Escolaridade',73,41,'Locatario','CLT',39,1518.00,0.00,18344.00,1760.00,0.00,0,0.00,0,0.00,501
'acima de 60',3,'Solteiro','Ensino Médio Completo',39,43,'Locatario','Autonomo',50,1881.00,0.00,76878.00,56197.00,0.00,1,2302.59,28,12117.25,395
'acima de 60',2,'Solteiro','Doutorado',57,47,'Proprietario','CLT',53,16471.00,734.00,335120.00,50831.00,10526.00,0,0.00,0,0.00,913
'acima de 60',4,'Solteiro','Ensino Médio Incompleto',65,44,'Locatario','PJ',71,1518.00,90966.00,428481.00,76045.00,1459.00,0,0.00,0,0.00,656
'acima de 60',0,'Viuvo','Técnico',71,49,'Proprietario','PJ',75,3153.00,0.00,128511.00,60061.00,-26064.00,0,0.00,0,0.00,810
'acima de 60',1,'Solteiro','Sem Escolaridade',2,49,'Locatario','CLT',33,2329.00,0.00,43007.00,23605.00,0.00,0,0.00,0,0.00,574
'26 a 40',2,'Solteiro','Sem Escolaridade',17,56,'Locatario','CLT',18,8187.00,192673.00,840902.00,269971.00,0.00,0,0.00,0,0.00,746
'41 a 60',0,'Solteiro','Sem Escolaridade',41,56,'Locatario','CLT',24,2017.00,0.00,41588.00,4013.00,-24019.00,0,0.00,0,0.00,500
'acima de 60',4,'Solteiro','Sem Escolaridade',20,49,'Locatario','CLT',20,7700.00,157629.00,503229.00,476581.00,282879.00,0,0.00,0,0.00,845
'acima de 60',2,'Solteiro','Sem Escolaridade',52,51,'Locatario','CLT',70,6235.00,355457.00,285672.00,271085.00,56084.00,0,1368.07,0,86712.47,774
'26 a 40',3,'Viuvo','Ensino Médio Incompleto',40,54,'Proprietario','CLT',22,1647.00,0.00,65727.00,47839.00,0.00,0,0.00,0,0.00,619
'41 a 60',1,'Solteiro','Sem Escolaridade',21,61,'Locatario','CLT',32,2030.00,615426.00,497810.00,77804.00,-258101.00,1,5607.92,58,55922.59,357
'26 a 40',2,'Solteiro','Sem Escolaridade',11,59,'Locatario','CLT',7,1518.00,0.00,16742.00,14960.00,-43743.00,0,0.00,0,0.00,535
'acima de 60',3,'Solteiro','Sem Escolaridade',94,43,'Locatario','CLT',54,1801.00,0.00,76280.00,48346.00,-39804.00,0,96.40,0,5525.29,633
'41 a 60',1,'Viuvo','Sem Escolaridade',43,41,'Proprietario','Autonomo',35,2009.00,0.00,28970.00,24908.00,0.00,0,0.00,0,0.00,423
'acima de 60',2,'Solteiro','Sem Escolaridade',39,51,'Locatario','CLT',61,3151.00,291956.00,524352.00,310830.00,144195.00,1,7145.27,42,100743.24,615
'acima de 60',4,'Solteiro','Superior Completo',31,44,'Proprietario','CLT',44,2357.00,0.00,43125.00,9429.00,0.00,0,0.00,0,0.00,717
'41 a 60',0,'Solteiro','Ensino Fundamental Completo',11,50,'Proprietario','CLT',28,1518.00,0.00,92123.00,28531.00,-72973.00,1,6117.88,67,487264.45,454
'26 a 40',3,'Casado','Superior Completo',12,61,'Proprietario','PJ',12,2309.00,0.00,25408.00,17677.00,0.00,0,2192.08,0,153400.00,489
